,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,P6016,P1894,P6020,P6034,P6040,P6051,P5502,P6071,P6071S1,P756,P756S1,P756S2,P756S3,P3510,P3510S1,P3510S1A1,P3510S1A2,P3510S1A3,P3510S1A4,P3510S1A5,P3510S1A6,P3510S1A7,P3510S1A8,P3510S1A9,P3510S1A10,P3510S1A11,P3510S2,P3510S2A1,P3510S2A2,P3510S2A3,P3510S2A4,P3510S2A5,P3510S2A6,P3510S2A7,P3510S2A8,P3510S2A9,P3510S2A10,P3510S2A11,P6074,P755,P755S1,P755S2,P755S3,P754,P753,P753S1,P753S2,P753S3,P752,P1662,P6081,P6081S1,P6087,P6083,P6083S1,P6088,P6080,P2057,P2059,P2061,P1895,P1896,P1897,P1898,P1899,P3175,P1901,P1903,P1904,P1905,P1927,P3038,P3039
43,8369568,1,1,1,"508,8582105",1,3,1,1,63,1,4.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,4.0,3,,4.0,6,2.0,2.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,2.0,1.0
104,8369598,1,1,1,"558,8467619",1,3,1,1,42,1,6.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,10.0,2,,2.0,2,,3.0,6,2.0,2.0,2.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,5.0,3.0,10.0,10.0,2.0,1.0
105,8369598,2,1,2,"558,8467619",2,3,2,1,38,2,6.0,1.0,1.0,2,73.0,73268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,10.0,3,,8.0,2,,8.0,6,2.0,2.0,2.0,8.0,8.0,9.0,8.0,9.0,6.0,9.0,4.0,0.0,10.0,7.0,1.0,2.0
404,8369727,1,1,1,"220,4496901",1,3,2,1,22,1,4.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,3.0,2,,1.0,2,,1.0,6,2.0,2.0,2.0,5.0,1.0,10.0,8.0,2.0,9.0,10.0,9.0,2.0,9.0,6.0,1.0,2.0
1001,8369991,1,1,1,"203,6746494",1,3,1,1,32,1,5.0,,,2,17.0,17513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,8.0,,3.0,11.0,11001.0,,1.0,2.0,2,,8.0,2,,5.0,6,2.0,1.0,2.0,10.0,3.0,10.0,7.0,10.0,4.0,9.0,10.0,10.0,4.0,3.0,2.0,1.0
2235,8370571,2,1,2,"1104,684055",2,3,2,1,24,3,5.0,,,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,1,1.0,,3,,2.0,6,2.0,2.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,7.0,1.0,2.0
2258,8370589,1,1,1,"209,2822621",1,3,1,1,77,1,6.0,2.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,10.0,3,,10.0,6,1.0,,1.0,8.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,2.0,1.0
2988,8370927,1,1,1,"289,3754451",1,3,1,1,62,1,3.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,47.0,47001.0,,1.0,3.0,11.0,11001.0,,1.0,11.0,3,,9.0,2,,9.0,6,2.0,2.0,2.0,6.0,3.0,6.0,4.0,4.0,3.0,6.0,4.0,5.0,6.0,5.0,2.0,1.0
5212,8371900,1,1,1,"333,2241012",1,3,2,1,26,1,2.0,1.0,2.0,2,11.0,11001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,8.0,2,,1.0,2,,8.0,6,2.0,2.0,2.0,8.0,3.0,8.0,8.0,8.0,8.0,5.0,3.0,0.0,10.0,7.0,1.0,2.0
5213,8371900,2,1,2,"333,2241012",2,3,1,1,56,2,2.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,9.0,3,,9.0,6,2.0,2.0,2.0,5.0,3.0,8.0,8.0,6.0,8.0,3.0,0.0,0.0,10.0,7.0,2.0,1.0
5389,8371962,1,1,1,"767,7853827",1,3,1,1,30,1,2.0,1.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,2.0,2,,2.0,6,1.0,,1.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,9.0,8.0,2.0,1.0
5390,8371962,2,1,2,"767,7853827",2,3,2,1,26,2,2.0,1.0,1.0,2,23.0,23001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,1.0,2,,3.0,2,,3.0,6,1.0,,1.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,5.0,5.0,9.0,10.0,1.0,2.0
6586,8372509,3,1,3,"613,7163658",3,3,2,1,24,3,5.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,3.0,11.0,11001.0,,1.0,12.0,1,1.0,,1,2.0,,6,2.0,2.0,2.0,8.0,99.0,8.0,8.0,8.0,8.0,6.0,3.0,2.0,4.0,4.0,1.0,2.0
6812,8372620,4,1,4,"7,597658359",4,3,2,1,18,14,5.0,,,2,13.0,13212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,11.0,11001.0,,1.0,3.0,11.0,11001.0,,1.0,7.0,2,,4.0,2,,4.0,6,2.0,2.0,1.0,7.0,6.0,8.0,7.0,8.0,7.0,8.0,0.0,0.0,10.0,8.0,1.0,2.0
